5,11,11,2,3,11,13,24,27,33,47
5,26,24,21,45,47,29,24,41,62,94
5,11,25,18,11,7,13,16,39,39,32
5,11,11,8,7,15,15,15,30,30,38
5,11,20,32,40,47,51,63,71,81,65
5,13,10,30,55,81,66,68,53,52,31
5,24,61,77,117,147,142,219,267,337,388
5,6,4,6,5,14,11,7,3,18,7
5,11,15,12,11,17,16,23,19,9,11
5,10,9,19,28,48,36,15,9,10,21
5,11,24,28,59,42,23,27,37,51,44
5,8,13,23,23,40,24,23,37,37,34
5,4,13,3,21,48,62,49,43,38,49
5,6,9,27,48,56,67,67,52,46,21
5,7,11,7,4,9,8,10,15,9,16
5,3,4,15,50,83,59,37,28,8,5
5,19,19,35,32,16,22,9,16,17,6
5,10,9,8,12,24,22,34,34,21,28
5,14,33,39,41,34,26,24,38,41,36
5,11,23,39,21,22,32,42,39,43,36
5,7,15,11,8,6,4,8,23,46,52
5,2,8,11,20,21,27,29,22,10,2
5,8,10,11,14,21,19,17,11,21,29
5,5,6,10,15,22,9,12,14,3,6
5,6,3,8,16,16,31,35,62,86,74
5,27,26,19,10,16,24,22,14,12,11
5,16,18,31,43,72,44,56,79,73,68
5,7,3,17,10,23,24,42,28,7,11
5,17,26,35,43,31,38,21,33,38,33
5,13,21,59,114,97,70,89,126,161,160
5,29,18,39,44,44,68,73,85,96,69
5,5,12,19,35,69,72,85,83,70,36
5,3,2,11,17,25,28,32,34,43,39
5,8,19,38,39,31,18,16,28,47,45
5,11,19,13,7,10,24,33,50,29,15
5,3,3,10,18,16,21,21,21,25,29
5,13,33,37,18,20,20,39,32,23,24
5,18,38,16,15,30,44,65,38,31,13
5,11,17,39,42,30,20,11,10,7,11
5,6,22,12,25,14,5,9,12,9,6
5,10,30,43,62,62,68,82,93,118,122
5,12,10,3,11,9,21,13,4,12,10
5,7,7,13,15,6,8,7,7,8,4
5,4,10,28,40,48,66,93,104,116,103
5,9,27,21,38,55,108,134,177,160,134
5,18,19,19,29,24,26,51,77,90,57
5,9,4,2,5,5,3,9,13,24,1
5,5,10,27,18,5,4,4,9,10,13
5,14,15,17,31,52,34,28,25,13,21
5,9,10,10,8,5,12,34,51,66,74
